Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
0001359,QA29,Kris_Kris,,low,trivial,always,,General,2023-09-17,,,,public,2023-09-17,"Не соответсвующий элемент в пункте ""N"" раздела F.A.Q. в меню главной страницы сайта",new,open,
0001358,QA29,Kris_Kris,,low,trivial,have not tried,,General,2023-09-17,,,,public,2023-09-17,"Ошибка в описании термина ""Andriod"" в разделе F.A.Q.",new,open,
0001357,QA29,Kris_Kris,,low,trivial,have not tried,,General,2023-09-17,,,,public,2023-09-17,"Граматическая ошибка в разделе ""Дизайн мобільных додатків"" меню на главной странице сайта",new,open,
0001356,QA29,Kris_Kris,,low,trivial,always,,General,2023-09-17,,,,public,2023-09-17,"Различие размера шрифта в описании пунктов 5 и 6 раздела ""Электронное меню""",new,open,
0001355,QA29,Kris_Kris,,low,trivial,always,,General,2023-09-17,,,,public,2023-09-17,"Ошибка загрузки графического элемента при поиске по ключевому слову ""Тестирование""",new,open,
0001354,QA29,YA,,low,trivial,always,,General,2023-09-17,,,,public,2023-09-17,"Граматическая ошибка в слове ""Мобільних""",new,open,
0001353,QA29,YA,,normal,minor,have not tried,,General,2023-09-17,,,,public,2023-09-17,Некорректное отображение изображения при поиске,new,open,
0001351,QA29,YA,,low,trivial,always,,General,2023-09-17,,,,public,2023-09-17,"Граматическая ошибка в слове ""Android""",new,open,
0001352,QA29,Kris_Kris,,normal,trivial,always,,General,2023-09-17,,,,public,2023-09-17,"[L1ON] Отсутсвует перевод графического элемента в EN локализации раздела ""LUNA CARDS""",new,open,
0001350,QA29,YA,,normal,minor,have not tried,,General,2023-09-17,,,,public,2023-09-17,Несоответствие глоссария с содержимым,new,open,
0001349,QA29,YA,,low,trivial,always,,General,2023-09-17,,,,public,2023-09-17,Неподходящий єлемент в глосарии,new,open,
0001348,QA29,Kris_Kris,,normal,trivial,always,,General,2023-09-17,,,,public,2023-09-17,[L1ON] Отсутсвует перевод в UА локализации всплывающего окна с контактами на главной странице сайта,new,open,
