#,Tracker,Status,Priority,Subject,Assignee,Updated,Description
21639,Ошибка,Новая,Нормальный,"При переходе по ссылке ""Instagram"" отображается сообщение ""На жаль, ця сторінка недоступна.""",Христина Шкільна,09/16/2023 11:21 PM,"*Шаги воспроизведения:*
1) Открыть сайт https://ibis.net.ua/
2) Кликнуть по ссылке ""Instagram"" справа в хедере сайта

*Ожидаемый результат:* при переходе по ссылке ""Instagram"" отображается старница магазина
*Фактический результат:* при переходе по ссылке ""Instagram"" отображается сообщение ""На жаль, ця сторінка недоступна.""

https://gyazo.com/bc7a008513504c6f90fa56d87e45d471"
21638,Ошибка,Новая,Нормальный,"Некорректный подбпор товаров под поисковый запрос ""Дуло""",Христина Шкільна,09/16/2023 11:14 PM,"*Шаги воспроизведения:*
1) Открыть сайт https://ibis.net.ua/
2) Ввести в строку поиска ""Дуло""
3) Обратить внимание на выводимый список товаров

*Ожидаемый результат:* при поискоовм запросе ""Дуло"" выводится соответсвующий товар
*Фактический результат:* при поискоовм запросе ""Дуло"" выводится не соответсвующий товар

https://gyazo.com/0b5d0f1608823f4bc76d9bfc70ed8781"
21637,Ошибка,Новая,Низкий,"На изображениях мероприятий текст выходит за границы рамки в разделе ""Анонсы""",Христина Шкільна,09/16/2023 11:07 PM,"*Шаги воспроизведения:*
1) Открыть сайт https://ibis.net.ua/
2) Перейти в раздел ""События"" - ""Анонсы""
3) Обратить внимание на изображения к мероприятиям

*Ожидаемый результат:* на изображениях мероприятий текст не выходит за границы рамки в разделе ""Анонсы""
*Фактический результат:* на изображениях мероприятий текст выходит за границы рамки в разделе ""Анонсы""

https://gyazo.com/91d496d5d67a49998e0d587540c226a6"
21636,Ошибка,Новая,Низкий,"В разделе ""Анонсы"" отображены оконченные мероприятия",Христина Шкільна,09/16/2023 11:03 PM,"*Шаги воспроизведения:*
1) Открыть сайт https://ibis.net.ua/
2) Перейти в раздел ""События"" - ""Анонсы""
3) Обратить внимание на список мероприятий

*Ожидаемый результат:* в разделе ""Анонсы"" отображены актуальные мероприятия (которые будут происходить вв будущем)
*Фактический результат:* в разделе ""Анонсы"" отображены оконченные мероприятия

https://gyazo.com/91d496d5d67a49998e0d587540c226a6"
21635,Ошибка,Новая,Нормальный,"Не отвечает на нажатие кнопка ""Помощь"" в разделе ""Огнестрельное оружие""",Христина Шкільна,09/16/2023 10:56 PM,"*Шаги воспроизведения:*
1) Открыть сайт https://ibis.net.ua/
2) Перейти в раздел ""Каталог товаров"" - ""Оружие и компелктующие"" - ""Огнестрельное оружие""
3) Попробовать кликнуть на кнопку ""Помощь"" справа в окне страницы

*Ожидаемый результат:* кнопка ""Помощь"" в разделе ""Огнестрельное оружие"" отвечает на нажатие
*Фактический результат:* не отвечает на нажатие кнопка ""Помощь"" в разделе ""Огнестрельное оружие""

https://gyazo.com/6508c17a6772fde593cb1b120506a9c8"
21634,Ошибка,Новая,Низкий,"[L10N] В RU локализации сайта отсутствует перевод раздела ""Сервис генераторов""",Христина Шкільна,09/16/2023 10:40 PM,"*Шаги воспроизведения:*
1) Открыть сайт https://ibis.net.ua/
2) В хедере главной страницы перейти в раздел ""Сервисные услуги"" - ""Сервис генераторов""
3) Обратить внимание на отсутсвие перевода в разделе

*Ожидаемый результат:* в RU локализации сайта раздел ""Сервис генераторов"" отображается в русском переводе
*Фактический результат:* в RU локализации сайта отсутствует перевод раздела ""Сервис генераторов""

https://gyazo.com/c443a1900579df7fa16f57bdc074bfe2"
21633,Ошибка,Новая,Низкий,"[L10N] В UA локализации сайта используется слово ""Розница"" в разделе ""Реєстрація гуртового клієнта""",Христина Шкільна,09/16/2023 10:26 PM,"*Шаги воспроизведения:*
1) Открыть сайт https://ibis.net.ua/
2) В хедере главной страницы перейти в раздел ""Гуртова торгівля"" - ""Реєстрація гуртового клієнта""
3) Обратить внимание на слово ""Розница"" в блоке для регистрации справа

*Ожидаемый результат:* в UA локализации сайта используется слово ""Роздріб"" в разделе ""Реєстрація гуртового клієнта""
*Фактический результат:* в UA локализации сайта используется слово ""Розница"" в разделе ""Реєстрація гуртового клієнта""

https://gyazo.com/57acb67d37a7d0c15c3e11a6d8d3397c"
21632,Ошибка,Новая,Низкий,"[L10N] В UA локализации сайта используются элементы ""отзыв"" в разделе ""Відгуки про наш магазин""",Христина Шкільна,09/16/2023 10:21 PM,"*Шаги воспроизведения:*
1) Открыть сайт https://ibis.net.ua/
2) Перейти в раздел ""Клієнтам"" - ""Відгуки, пропозиції, скарги""
3) Обратить внимание на элементы ""отзыв""

*Ожидаемый результат:* в UA локализации сайта используются элементы ""відгук"" в разделе ""Відгуки про наш магазин""
*Фактический результат:* в UA локализации сайта используются элементы ""отзыв"" в разделе ""Відгуки про наш магазин""

https://gyazo.com/6a68aff6e598641d669e77a8e7d3c058"
21631,Ошибка,Новая,Низкий,"[L10N]  Не переведена графа ""Призначення:"" у товара ""Щітка Source Tube Brush Kit для чищення питних трубок"" ",Anastasiia Yeromenko,09/16/2023 10:16 PM,"1. Открыть сайт
2. В поисковике ввести ""6810043""

Ожидаемый результат: Графа ""Призначення:"" будет содержать текст ""Для чищення питних трубок""
Фактический результат: Графа ""Призначення:"" содержит текст ""для чистки питьевых трубок ""

https://prnt.sc/Yfq-Tp4HWFtc"
21630,Ошибка,Новая,Низкий,"[L10N] Не локализован фильтр ""Диапазон температур""",Anastasiia Yeromenko,09/16/2023 10:12 PM,"1. Открыть сайт
2. Перейти в раздел ""Спальный мешок""
3. Перейти к фильтру ""Диапазон температур""

Ожидаемый результат: Фильтр буде полностью переведен на Укр язык
Фактический результат: Фильтр не полностью переведен на Укр язык

https://prnt.sc/mAXmw4lSPPGI"
21629,Ошибка,Новая,Низкий,"[L10N] Не локализован раздел ""Страховочные системы""",Anastasiia Yeromenko,09/16/2023 10:09 PM,"1. Открыть сайт
2. Перейти в раздел ""Страховочные системы""

*Ожидаемый результат:* Раздел буде полностью переведен на Укр язык
*Фактический результат:* Раздел не полностью переведен на Укр язык

https://prnt.sc/ogYncjD0vLt_"
21628,Ошибка,Новая,Нормальный,"[L10N] В описании графика работы UA локализации используется сокращение ""сб-вс"" в футере сайта",Христина Шкільна,09/16/2023 10:08 PM,"*Шаги воспроизведения:*
1) Открыть сайт https://ibis.net.ua/
2) Обратить внимание на график работы магазина в футере сайта

*Ожидаемый результат:* в описании графика работы используется сокращение ""сб-нд"" в футере сайта
*Фактический результат:* в описании графика работы используется сокращение ""сб-вс"" в футере сайта

https://gyazo.com/6e238080003495f9cc4e18f9c1bc176d"
